"Id","DateCreated","DateUpdated","DeviceId","DeviceType","DeviceModel","RequestType","ImageUrl","Latitude","Longitude","City","State","ZipCode","Directionality","Description","StatusType","HasBeenForwarded","InitialBoundaryName"
"46992","7/30/2012 10:02:46 PM","7/30/2012 10:02:49 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.384039000000000","-157.921692000000000","Aiea","HI","96701","I Don't Know","Dead animal","Submitted","True","Honolulu County, HI"
"46989","7/30/2012 9:54:40 PM","7/30/2012 9:54:43 PM","","Apple","iPhone 4 (CDMA)","Tree Or Plant Maintenance","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.340994000000000","-158.028091000000000","Ewa Beach","HI","96706","I Don't Know","Plant has thorns and it's over grown in the planter strip. Parents have made complaints saying its a danger to kids using the sidewalk.","Submitted","True","Honolulu County, HI"
"46981","7/30/2012 8:01:18 PM","7/30/2012 8:01:20 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.348404000000000","-158.074234000000000","Kapolei","HI","96707","I Don't Know","Broken reflector","Submitted","True","Honolulu County, HI"
"46934","7/30/2012 8:49:08 AM","7/30/2012 7:43:15 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.335169000000000","-157.845047000000000","Honolulu","HI","96817","I Don't Know","Lost dog","Closed","True","Honolulu, HI"
"46933","7/30/2012 6:01:26 AM","7/30/2012 7:41:29 PM","","Apple","iPhone 4S","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.284534000000000","-157.775955000000000","Honolulu","HI","96821","I Don't Know","This vehicle (Light blue Honda Accord, License # FPX-206, park in front of 1477 Ainakoa Ave.) has been reported as abandoned numerous times. It has been cited for expired safety check and registration. The owner moves the vehicle once it gets marked as abandoned and leaves it parked again until it gets reported again. Can't this vehicle be towed away being it has expired tags? The neighbors are sick and tired of putting up with this kid and his immature behavior. Parking on this street is limited we would like something to be done about this situation. Please help. Thank you very much.","ReferredToDept","True","Honolulu, HI"
"46932","7/30/2012 4:02:27 AM","7/30/2012 7:39:19 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.473358000000000","-158.217056000000000","Waianae","HI","96792","I Don't Know","Cardboard says HOT WIRE, barely visible, in the open & area not blocked off in residential area","ReferredToDept","True","Honolulu County, HI"
"46923","7/30/2012 12:04:28 AM","7/30/2012 7:35:07 PM","","Apple","iPhone 4S","Stored Property Violation","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.289154000000000","-157.834808000000000","Honolulu","HI","96826","I Don't Know","there is property strung out all over the place including trash and a small fire last night in addition to arguments. please clean up this area!","ReferredToDept","True","Honolulu, HI"
"46908","7/29/2012 8:30:23 PM","7/30/2012 7:33:05 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.256165000000000","-157.804962000000000","Honolulu","HI","96816","I Don't Know","This D/H lookout Road it smells of piss Really stong please look into Not good for tourist or local Thank you","ReferredToDept","True","Honolulu, HI"
"46901","7/29/2012 6:50:36 PM","7/30/2012 7:29:47 PM","","Android","DROID BIONIC","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.416796000000000","-157.999534000000000","Waipahu","HI","96797","East","Somebody moved barricade to drive trucks behind park to use drugs.","ReferredToDept","True","Honolulu County, HI"
"46897","7/29/2012 6:04:59 PM","7/29/2012 6:05:02 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.301903000000000","-157.860107000000000","Honolulu","HI","96813","I Don't Know","Lights not working.","Submitted","True","Honolulu, HI"
"46886","7/29/2012 4:45:20 AM","7/30/2012 7:19:34 PM","","Apple","iPhone 4S","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.415009000000000","-157.815735000000000","Kaneohe","HI","96744","I Don't Know","The attached photo shows a vehicle that has been parked in the same spot for over 3 months. Pls. Tow it out of our neighbor. Thank you for repairing the street lamp.","ReferredToDept","True","Honolulu County, HI"
"46879","7/28/2012 11:39:06 PM","7/30/2012 7:14:32 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.297928000000000","-157.803253000000000","Honolulu","HI","96816","I Don't Know","Numerous potholes on this street.","NotAnIssue","True","Honolulu, HI"
"46868","7/28/2012 7:41:54 PM","7/30/2012 7:13:02 PM","","Apple","iPhone 4S","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.288239000000000","-157.819000000000000","Honolulu","HI","96826","I Don't Know","Don't move","ReferredToDept","True","Honolulu, HI"
"46865","7/28/2012 6:58:20 PM","7/30/2012 7:10:15 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.283119000000000","-157.787933000000000","Honolulu","HI","96816","I Don't Know","Fix pot hole next to sewer manhole","Closed","True","Honolulu, HI"
"46864","7/28/2012 6:31:31 PM","7/30/2012 7:05:55 PM","","Apple","iPhone 4S","Broken Street Lights (Need Pole Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.382034000000000","-157.756653000000000","Kailua","HI","96734","I Don't Know","Street light was replaced and operating. Must be a short circuit as it lasted a few weeks and is out again. Pole #2","ReferredToDept","True","Honolulu County, HI"
"46860","7/28/2012 5:09:25 PM","7/30/2012 7:00:39 PM","","Android","DROID2 GLOBAL","Stored Property Violation","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.315687179565430","-157.860610961914060","Honolulu","HI","96817","Northeast","same homeless setup/gambling storage","ReferredToDept","True","Honolulu, HI"
"46858","7/28/2012 4:25:59 PM","7/30/2012 6:57:29 PM","","Apple","iPhone 4S","Broken Street Lights (Need Pole Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.398903000000000","-158.026199000000000","Waipahu","HI","96797","I Don't Know","Major water leak under light pole continually leaking water& electric : disaster","ReferredToDept","True","Honolulu County, HI"
"46851","7/28/2012 4:50:08 AM","7/30/2012 6:55:05 PM","","Android","HTC VLE_U","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.587212000000000","-158.106994000000000","Haleiwa","HI","96712","Northeast","Police not using common sense to handle traffic at fire scene.","ReferredToDept","True","Honolulu County, HI"
"46848","7/28/2012 3:01:27 AM","7/28/2012 3:01:29 AM","","Apple","iPhone 4 (CDMA)","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.348366000000000","-157.920013000000000","Honolulu","HI","96818","I Don't Know","Parking for more than a month","Submitted","True","Honolulu, HI"
"46838","7/28/2012 12:44:53 AM","7/28/2012 12:44:56 AM","","Android","ADR6350","Abandoned Vehicle (incl license number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.297031000000000","-157.833344000000000","Honolulu","HI","96826","South","License #: PXC 334 Abandoned for 1 week.","Submitted","True","Honolulu, HI"
"46824","7/27/2012 8:26:10 PM","7/27/2012 8:30:33 PM","","Apple","iPod Touch 4G","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.303925000000000","-157.839615000000000","Honolulu","HI","96822","I Don't Know","2nd report the same wht suv in the pict still in the same spot since last week tue","ReferredToDept","True","Honolulu, HI"
"46821","7/27/2012 7:39:10 PM","7/27/2012 7:53:33 PM","","Apple","iPhone 4 (CDMA)","Stored Property Violation","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.293953000000000","-157.825256000000000","Honolulu","HI","96826","I Don't Know","Stored personal property on City & County property","ReferredToDept","True","Honolulu, HI"
"46817","7/27/2012 5:58:47 PM","7/27/2012 5:58:50 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.303638000000000","-157.849274000000000","Honolulu","HI","96814","I Don't Know","Enough is enough!!! They are SOO off message of the original Occupy --- now they are a public hazard and nuisance!","Submitted","True","Honolulu, HI"
"46804","7/27/2012 1:56:07 PM","7/27/2012 5:07:13 PM","","Apple","iPhone 4S","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.288116000000000","-157.819717000000000","Honolulu","HI","96826","I Don't Know","Gej762 Toyota truck don't move","ReferredToDept","True","Honolulu, HI"
"46798","7/27/2012 6:41:33 AM","7/27/2012 5:45:01 PM","","Android","DROIDX","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.453068000000000","-158.203125000000000","Waianae","HI","96792","East","another photos of vehicle scrapping at 87-144 liliana st waianae","Closed","True","Honolulu County, HI"
"46796","7/27/2012 6:36:54 AM","7/27/2012 5:48:01 PM","","Android","DROIDX","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.412002000000000","-158.193855000000000","Waianae","HI","96792","East","more photos of illegal hazmat, large scale scrapping and vehicle repair business in a residence.","ReferredToDept","True","Honolulu County, HI"
"46795","7/27/2012 6:26:28 AM","7/27/2012 5:55:10 PM","","Apple","iPhone 4 (CDMA)","Broken Street Lights (Need Pole Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.269558000000000","-157.809616000000000","Honolulu","HI","96815","I Don't Know","Street light goes off and on throughout the night. It is very dark when it goes off. There are two light poles now that go off and on. Pole number 318 at 3255 Monsarrat Ave and pole #319 fronting 3301 Minsarrat Ave. thank you.","ReferredToDept","True","Honolulu, HI"
"46793","7/27/2012 5:44:06 AM","7/27/2012 5:44:10 AM","","Android","MOTWX435KT","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.276498000000000","-157.823452000000000","Honolulu","HI","96815","North","the pedestrian signal is not in sync with the traffic light. when the kuhio traffic light is green cars should be able to turn into uluniu, but the pedestrian light is also green which means people could get hit.","Submitted","True","Honolulu, HI"
"46792","7/27/2012 5:06:19 AM","7/27/2012 6:00:36 PM","","Apple","iPhone 4","Illegal Dump Site","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.320538000000000","-157.861053000000000","Honolulu","HI","96817","I Don't Know","Residents on the street always dump their large items here on non bulky item pick up days. Sometimes the mattresses are set on fire and the glass on the tvs that are dumped here are broken and scattered all over the sidewalk.","ReferredToDept","True","Honolulu, HI"
"46789","7/27/2012 4:38:41 AM","7/27/2012 7:23:58 PM","","Apple","iPad 2 (CDMA)","Stored Property Violation","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.505133000000000","-158.020538000000000","Wahiawa","HI","96786","I Don't Know","Trucks are still there and a road has been built leading to containers where peopl are. Road goes to all parts of the proprty. No response from city/county. Why are trucks stored here.","ReferredToDept","True","Honolulu County, HI"
"46788","7/27/2012 4:15:48 AM","7/27/2012 6:06:33 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.343056000000000","-157.876801000000000","Honolulu","HI","96819","I Don't Know","Rubbish trucks drive up this road causing major damage to the asphalt surface on this hill. Dangerous for kids to ride bike and elderly can trip on these large pot holes.","NotAnIssue","True","Honolulu, HI"
"46785","7/27/2012 3:57:08 AM","7/27/2012 6:33:45 PM","","Android","SAMSUNG-SGH-I997","Abandoned Vehicle (incl license number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.365329000000000","-157.916107000000000","Honolulu","HI","96818","South","License # 7QH7 Parked same location for several months.","ReferredToDept","True","Honolulu County, HI"
"46784","7/27/2012 3:46:18 AM","7/27/2012 6:29:04 PM","","Android","SAMSUNG-SGH-I997","Abandoned Vehicle (incl license number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.366288000000000","-157.914218000000000","Honolulu","HI","96818","West","License #NVD 802","ReferredToDept","True","Honolulu County, HI"
"46773","7/27/2012 1:29:09 AM","7/27/2012 1:29:12 AM","","Android","SGH-T959","Abandoned Vehicle (incl license number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.328096000000000","-157.866035000000000","Honolulu","HI","96817","Southeast","they just toss the notice away when they see it. hasn't moved for over a week.","Submitted","True","Honolulu, HI"
"46771","7/26/2012 11:57:12 PM","7/27/2012 12:37:54 AM","","Apple","iPhone 4S","Illegal Dump Site","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.409140000000000","-157.741180000000000","Kailua","HI","96734","I Don't Know","BP oil drum washed up on Kailua beach.","ReferredToDept","True","Honolulu County, HI"
"46763","7/26/2012 9:11:01 PM","7/26/2012 9:53:58 PM","","Android","SGH-T989","Tree or Plant maintenance","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.333013000000000","-157.847442000000000","Honolulu","HI","96817","Northwest","There is some tires and other trash","ReferredToDept","True","Honolulu, HI"
"46758","7/26/2012 8:14:08 PM","7/26/2012 8:26:49 PM","","Apple","iPhone 4","Broken Street Lights (Need Pole Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.483238000000000","-157.991302000000000","Mililani","HI","96789","I Don't Know","Phoned in a report about 6 months ago. Light is still broken. Pole number attached in photo.","ReferredToDept","True","Honolulu County, HI"
"46747","7/26/2012 6:09:29 PM","7/26/2012 6:19:22 PM","","Apple","iPhone 3GS","Illegal Dump Site","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.371805000000000","-157.734360000000000","Kailua","HI","96734","I Don't Know","This dumpster has been parked on the street for 2 weeks. It is on a very dangerous blind curve on Akamai Street.","ReferredToDept","True","Honolulu County, HI"
"46746","7/26/2012 6:05:03 PM","7/26/2012 6:19:42 PM","","Apple","iPhone 4","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.285662000000000","-157.830536000000000","Honolulu","HI","96815","I Don't Know","Car has been parked here for 5+ days","ReferredToDept","True","Honolulu, HI"
"46743","7/26/2012 5:48:29 PM","7/26/2012 6:10:30 PM","","Apple","iPhone 4","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.286085000000000","-157.831146000000000","Honolulu","HI","96815","I Don't Know","Vehicle has been parked here for more than 3+ days","ReferredToDept","True","Honolulu, HI"
"46717","7/26/2012 8:40:49 AM","7/26/2012 6:08:37 PM","","Apple","iPhone 4","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.382402000000000","-157.944870000000000","Aiea","HI","96701","I Don't Know","Abandoned vehicle.","ReferredToDept","True","Honolulu County, HI"
"46716","7/26/2012 8:35:58 AM","7/26/2012 6:06:49 PM","","Apple","iPhone 4","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.381029000000000","-157.944260000000000","Aiea","HI","96701","I Don't Know","Abandoned vehicle.","ReferredToDept","True","Honolulu County, HI"
"46711","7/26/2012 4:57:16 AM","7/26/2012 6:04:28 PM","","Apple","iPhone 4","Illegal Dump Site","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.277969000000000","-157.800079000000000","Honolulu","HI","96816","I Don't Know","Someone is sleeping up on the kaimuki crater. They have left trash everywhere. Do we report homeless trash to you or the cops?","ReferredToDept","True","Honolulu, HI"
"46708","7/26/2012 4:13:19 AM","7/26/2012 6:02:25 PM","","Android","SCH-I510","Abandoned Vehicle (incl license number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.417475000000000","-157.803754000000000","Kaneohe","HI","96744","West","two vehicles a van and a car","Closed","True","Honolulu County, HI"
"46664","7/25/2012 7:33:21 PM","7/25/2012 8:03:08 PM","","Android","HTC Glacier","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.314324000000000","-158.011550000000000","Ewa Beach","HI","96706","Northwest","my letters is always torn,slightly opened,or missing.its only my letters sent to this adress looks tampered.","NotAnIssue","True","Honolulu County, HI"
"46647","7/25/2012 4:49:32 PM","7/25/2012 7:01:08 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.259506000000000","-157.796768000000000","Honolulu","HI","96816","I Don't Know","HE'S BAAACK.","ReferredToDept","True","Honolulu, HI"
"46630","7/25/2012 1:42:12 PM","7/25/2012 6:20:52 PM","","Apple","iPhone 4 (CDMA)","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.361877000000000","-158.090805000000000","Kapolei","HI","96707","I Don't Know","Honda car parked at stop sign license plate JBR 763","ReferredToDept","True","Honolulu County, HI"
"46624","7/25/2012 8:46:09 AM","7/25/2012 6:17:54 PM","","Apple","iPhone 4","Broken Street Lights (Need Pole Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.329193000000000","-157.858276000000000","Honolulu","HI","96817","I Don't Know","Pole in front of 828 n Judd St. Light goes on and off. When on, not full brightness.","ReferredToDept","True","Honolulu, HI"
"46620","7/25/2012 4:28:15 AM","7/25/2012 6:16:00 PM","","Apple","iPhone 3GS","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.392399000000000","-157.716431000000000","Kailua","HI","96734","I Don't Know","Dead animal pickup in drain","ReferredToDept","True","Honolulu County, HI"
"46594","7/25/2012 1:31:21 AM","7/25/2012 1:54:55 AM","","Apple","iPod Touch 4G","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.304276000000000","-157.838379000000000","Honolulu","HI","96822","I Don't Know","More then a week","ReferredToDept","True","Honolulu, HI"
"46593","7/25/2012 1:27:34 AM","7/25/2012 1:56:40 AM","","Apple","iPod Touch 4G","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.303925000000000","-157.839615000000000","Honolulu","HI","96822","I Don't Know","From last week tue until now","ReferredToDept","True","Honolulu, HI"
"46560","7/24/2012 9:54:41 PM","7/24/2012 10:19:30 PM","","Apple","iPhone 4","Broken / Vandalized Signs","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.294371000000000","-157.843445000000000","Honolulu","HI","96814","I Don't Know","2 hour regulatory post knocked down.","ReferredToDept","True","Honolulu, HI"
"46542","7/24/2012 7:56:44 PM","7/24/2012 8:04:42 PM","","Apple","iPhone 4S","Abandoned Vehicle (Incl License Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.302689000000000","-157.841354000000000","Honolulu","HI","96814","I Don't Know","This truck with the license no RTS 002 has been parked here for over two weeks..","ReferredToDept","True","Honolulu, HI"
"46531","7/24/2012 6:13:16 PM","7/24/2012 6:20:57 PM","","Apple","iPhone 4 (CDMA)","Illegal Dump Site","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.302979000000000","-157.842758000000000","Honolulu","HI","96814","I Don't Know","Happens all the time","ReferredToDept","True","Honolulu, HI"
"46518","7/24/2012 4:59:12 PM","7/24/2012 6:07:22 PM","","Android","PG86100","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.273538000000000","-157.823238000000000","Honolulu","HI","96815","Northeast","Camp set up behind the Waikiki Bandstand. Homeless set up camp with luggage bags, bicycles etc. He has been camping for several days.","ReferredToDept","True","Honolulu, HI"
"46496","7/24/2012 4:10:39 AM","7/24/2012 6:12:40 PM","","Android","SGH-T989","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.500452000000000","-158.051698000000000","Wahiawa","HI","96786","North","Broken sewer line gushing hundreds of gallons per hour. Creates rotten egg odor. It's spilling into creek and can be seen from bridge. Same exact line that broke over a year ago.","ReferredToDept","True","Honolulu County, HI"
"46494","7/24/2012 3:31:58 AM","7/24/2012 6:17:52 PM","","Android","SGH-T959","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.467507000000000","-158.001090000000000","Mililani","HI","96789","North","Multiple broken sprinkled heads on median divider. Major waste of water and creating a unnecessary hazard. Sprinkler duration also seems excessive and should be set to operate more early in the morning...like 1am not 4am where there are more cars on road. This has been ongoing for over a month.","ReferredToDept","True","Honolulu County, HI"
"46492","7/24/2012 2:59:28 AM","7/24/2012 6:24:59 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.277592000000000","-157.779663000000000","Honolulu","HI","96821","I Don't Know","Uneven traffic signal panels on sidewalk Sprain my ankle","ReferredToDept","True","Honolulu, HI"
"46490","7/24/2012 2:42:33 AM","7/27/2012 6:32:59 AM","","Android","DROIDX","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.510893000000000","-158.230934000000000","Waianae","HI","96792","Northeast","I have made previous reports to. the department of planning and permitting spoken with Randall Iraha on several occasions. randall is very helpful and documented more than 10 cars on his property however this individual is very adept at not getting caught. I also made a report to dpw environmental and I think I spoke to adam kiesling or keeping. the family at this residence runs an unlicensed and very annoying car repair and metal s rapping business from his residence. there are many instances of late night and weekend deliveries of cars. they chop, repair, & scrap these usually before an inspector can get notified and make it to their house. In randall's the last inspection he did actually texting working on the vehicle. unfortunately they were working on it in front of the vacant house next to their property so they couldn't be cited. if you look at the property on the left side of his property line there is a house that has been vacant for nearly 2 years. the home appears to be redwood. at where h","CouldNotVerify","True","Honolulu County, HI"
"46488","7/24/2012 2:26:34 AM","7/24/2012 6:18:10 PM","","Android","HTC Glacier","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.296721000000000","-157.854684000000000","Honolulu","HI","96814","North","The vehicle in the picture parked partially in a handicap spot, blocking the entrance to my vehicle. I am handicapped and had a very difficult time getting into my car.","Closed","True","Honolulu, HI"
